neuron_id p0 p1 p2 p3
0 1 0 0 1
1 0 0 0 0
2 0 1 1 0
3 0 1 0 0
4 1 0 0 0
5 0 1 0 0
6 0 0 0 0
7 0 1 0 0
8 0 1 0 0
9 0 0 1 0
10 0 0 0 1
11 1 1 0 0
12 0 0 1 0
13 1 0 0 1
14 0 0 0 1
15 0 0 0 0
16 0 1 0 1
17 0 1 0 1
18 1 0 0 0
19 1 0 0 0
20 0 1 0 1
21 0 1 0 0
22 0 0 1 0
23 0 0 1 1
24 0 0 0 0
25 0 1 0 0
26 1 1 0 0
27 0 0 0 0
28 1 0 0 0
29 0 0 0 1
30 1 1 0 1
31 1 0 1 0
32 0 0 0 0
33 0 0 0 0
34 0 0 0 0
35 0 0 0 1
36 0 0 1 1
37 0 0 0 1
38 0 0 0 0
39 0 0 0 0
40 0 1 1 0
41 0 0 0 0
42 0 1 0 0
43 0 1 0 0
44 0 1 0 0
45 0 0 0 0
46 1 0 0 0
47 0 0 0 1
48 0 1 0 0
49 0 1 0 0
50 0 0 0 0
51 0 0 0 1
52 1 0 0 1
53 1 1 0 0
54 1 0 0 0
55 1 0 0 0
56 0 0 0 0
57 0 0 1 1
58 1 0 1 0
59 1 0 0 0
60 0 0 0 0
61 1 1 0 1
62 0 1 0 1
63 0 0 0 0
64 1 0 0 0
65 0 1 0 1
66 1 1 0 0
67 0 1 1 0
68 1 1 0 1
69 0 1 0 0
70 0 1 0 0
71 0 0 0 0
72 0 0 1 0
73 0 0 0 0
74 0 1 0 0
75 1 1 0 1
76 0 0 0 0
77 0 0 0 1
78 1 0 1 0
79 0 0 0 0
80 0 0 0 0
81 0 0 1 0
82 1 0 0 1
83 0 0 0 0
84 0 0 0 0
85 0 0 0 1
86 1 1 0 1
87 0 0 0 0
88 0 0 0 0
89 1 0 0 1
90 0 0 0 1
91 1 1 0 1
92 0 0 1 0
93 1 0 0 1
94 0 0 0 1
95 0 0 0 0
96 0 0 1 0
97 0 0 0 0
98 0 0 1 0
99 0 1 0 0
100 0 1 0 0
101 0 0 1 1
102 1 1 0 0
103 0 0 0 0
104 1 1 1 0
105 1 0 0 0
106 1 1 0 1
107 0 0 1 0
108 0 1 1 0
109 0 0 0 0
110 0 0 1 0
111 0 1 0 0
112 0 1 0 0
113 0 0 0 1
114 0 0 0 0
115 1 0 0 0
116 1 1 0 0
117 0 0 0 0
118 0 1 0 1
119 0 1 0 0
120 0 0 1 1
121 0 0 0 1
122 1 0 0 0
123 0 0 0 0
124 0 0 0 1
125 0 1 1 0
126 1 0 0 0
127 1 0 1 0
128 0 0 1 1
129 0 1 0 0
130 0 0 0 1
131 0 1 1 0
132 0 1 0 0
133 1 0 1 1
134 0 0 0 1
135 0 1 0 0
136 0 0 0 0
137 0 0 0 0
138 1 1 0 0
139 0 0 1 0
140 0 0 1 1
141 1 0 0 0
142 0 0 1 0
143 1 0 1 0
144 0 0 1 0
145 0 0 1 0
146 0 0 1 1
147 1 0 0 1
148 0 0 1 0
149 0 1 0 1
150 1 1 1 0
151 0 0 0 1
152 1 0 1 1
153 0 0 0 0
154 1 0 0 1
155 0 1 1 0
156 0 1 0 1
157 0 1 0 0
158 0 0 0 0
159 0 1 1 1
160 0 0 0 1
161 1 0 1 0
162 0 1 1 0
163 1 0 0 0
164 0 0 1 0
165 0 1 0 0
166 0 1 0 1
167 0 1 0 0
168 1 1 0 0
169 1 0 1 0
170 0 0 0 1
171 1 0 0 0
172 0 0 0 0
173 1 1 0 1
174 0 0 0 0
175 0 1 0 0
176 0 0 0 0
177 0 1 0 1
178 0 1 0 0
179 0 1 1 1
180 0 0 1 0
181 0 0 1 1
182 1 0 0 0
183 0 0 0 0
184 0 0 0 0
185 0 0 1 0
186 0 1 0 0
187 0 1 0 0
188 0 0 0 0
189 0 0 0 1
190 0 0 0 0
191 0 0 1 0
192 1 0 0 0
193 0 0 0 0
194 1 0 0 0
195 1 0 0 0
196 1 1 0 0
197 0 0 1 0
198 1 1 1 0
199 0 1 1 0
200 1 0 1 1
201 1 0 0 0
202 0 0 1 0
203 1 0 0 0
204 0 0 1 0
205 1 0 0 1
206 0 0 0 0
207 1 1 1 0
208 1 0 0 0
209 0 0 1 1
210 0 1 1 1
211 1 0 1 1
212 0 0 0 0
213 0 1 0 0
214 1 1 0 0
215 0 0 1 0
216 0 1 1 0
217 0 0 1 1
218 0 0 0 1
219 0 1 1 0
220 0 0 0 0
221 1 1 1 0
222 0 0 0 0
223 0 1 1 1
224 1 0 0 1
225 0 1 0 1
226 0 0 1 0
227 1 1 1 0
228 0 1 1 0
229 1 1 1 1
230 0 0 0 1
231 0 0 1 1
232 0 0 1 1
233 0 1 0 0
234 0 0 0 0
235 0 0 0 0
236 0 0 0 0
237 0 0 0 0
238 1 1 0 1
239 0 0 0 1
240 1 0 0 1
241 0 1 0 0
242 0 1 1 0
243 1 0 0 0
244 0 0 1 0
245 0 1 0 0
246 0 0 0 0
247 1 0 1 0
248 0 0 1 0
249 0 0 0 0
250 1 0 0 0
251 0 0 0 0
252 0 0 1 0
253 0 0 1 0
254 0 0 0 0
255 1 0 1 0
256 0 1 0 0
257 0 0 0 1
258 1 0 0 0
259 0 0 0 1
260 0 0 0 0
261 0 0 0 0
262 0 0 1 0
263 0 0 1 0
264 1 0 0 0
265 0 0 0 1
266 0 0 0 0
267 0 0 0 0
268 0 0 0 1
269 0 1 0 0
270 1 1 0 0
271 0 0 0 0
272 1 0 0 0
273 0 0 0 0
274 0 0 0 1
275 1 1 0 0
276 0 1 1 0
277 1 1 1 0
278 0 1 0 1
279 0 0 0 0
280 0 1 0 0
281 0 0 1 1
282 0 0 0 0
283 0 0 1 1
284 0 0 0 0
285 0 0 0 0
286 0 0 0 1
287 0 0 0 0
288 0 0 0 0
289 0 0 0 1
290 0 0 1 1
291 1 0 1 0
292 0 1 1 0
293 0 1 0 0
294 0 0 0 0
295 1 0 0 0
296 0 0 0 0
297 1 0 0 0
298 0 0 0 0
299 1 0 1 0
300 0 0 0 0
301 1 1 0 0
302 0 0 0 0
303 0 1 1 1
304 0 0 1 0
305 1 0 1 0
306 0 0 0 1
307 0 1 0 0
308 0 0 1 1
309 1 1 1 0
310 0 0 1 0
311 0 0 0 1
312 0 1 1 1
313 1 0 0 0
314 1 0 0 1
315 0 0 1 0
316 1 0 0 1
317 1 0 0 1
318 1 1 0 0
319 1 0 0 0
320 0 0 0 1
321 1 1 0 1
322 0 0 0 1
323 0 1 1 0
324 0 0 0 0
325 1 1 0 0
326 0 1 0 1
327 0 0 0 1
328 1 1 1 0
329 0 0 1 1
330 0 1 0 0
331 0 0 1 1
332 0 0 0 1
333 0 0 0 1
334 1 0 0 0
335 0 0 0 1
336 0 0 1 1
337 0 1 0 1
338 0 0 0 1
339 0 0 1 0
340 0 0 1 0
341 0 0 1 0
342 0 0 0 0
343 0 0 0 0
344 0 0 0 0
345 0 0 1 1
346 0 0 0 1
347 0 0 0 0
348 0 1 0 0
349 0 0 1 0
350 0 1 1 0
351 0 0 1 0
352 0 1 0 1
353 1 0 0 1
354 0 1 0 0
355 0 1 0 1
356 0 0 0 1
357 0 0 0 1
358 0 0 0 0
359 0 0 0 0
360 0 1 0 0
361 0 0 0 1
362 0 0 1 1
363 0 1 1 0
364 0 1 1 0
365 0 1 1 0
366 0 0 1 0
367 0 0 1 0
368 0 0 0 0
369 0 0 0 0
370 0 1 0 0
371 1 0 0 1
372 0 0 0 0
373 1 0 0 0
374 0 0 0 0
375 1 0 1 0
376 0 0 1 0
377 1 0 0 1
378 0 0 1 0
379 0 0 1 0
380 1 0 1 1
381 0 0 0 0
382 0 1 0 0
383 0 0 1 0
384 0 0 0 0
385 0 1 1 1
386 1 0 0 0
387 0 0 0 0
388 0 0 0 0
389 0 1 0 0
390 0 0 0 1
391 0 1 0 0
392 0 0 0 0
393 0 1 0 0
394 0 0 0 0
395 0 1 0 0
396 0 0 0 0
397 1 1 0 0
398 1 0 0 0
399 1 0 1 0
400 1 0 1 0
401 1 0 0 1
402 0 0 0 1
403 0 0 1 1
404 1 0 0 0
405 0 1 0 0
406 1 0 0 0
407 0 0 1 1
408 1 1 1 0
409 0 0 0 0
410 1 0 0 0
411 0 0 0 0
412 0 0 1 0
413 0 0 0 0
414 1 1 0 0
415 1 1 0 1
416 0 1 0 0
417 0 0 0 0
418 0 0 0 1
419 0 0 1 0
420 0 0 1 0
421 0 0 0 0
422 1 1 1 1
423 0 0 0 0
424 0 0 0 1
425 0 1 0 0
426 0 0 0 0
427 0 0 0 0
428 1 1 1 0
429 0 0 0 0
430 0 0 0 1
431 1 1 0 1
432 1 0 0 0
433 1 0 0 0
434 0 1 0 1
435 1 1 1 1
436 0 0 1 1
437 0 0 0 0
438 0 0 1 0
439 0 0 1 1
440 0 0 0 0
441 0 1 0 0
442 0 1 0 0
443 1 0 0 0
444 0 0 0 0
445 0 1 0 0
446 1 0 0 0
447 1 1 0 0
448 0 0 0 0
449 1 0 1 0
450 1 0 0 0
451 0 1 0 0
452 0 1 0 1
453 1 0 0 0
454 0 0 0 0
455 0 1 1 0
456 0 1 0 0
457 1 0 0 0
458 0 0 0 0
459 0 0 0 0
460 0 0 0 0
461 0 0 1 0
462 1 0 0 0
463 0 0 0 0
464 1 0 0 0
465 0 0 0 1
466 0 0 0 0
467 0 0 0 0
468 0 1 1 1
469 0 0 0 1
470 0 0 1 0
471 0 1 0 0
472 1 0 1 0
473 0 0 0 0
474 1 0 0 0
475 1 1 0 1
476 0 0 1 0
477 1 0 0 0
478 0 0 0 1
479 0 1 0 0
480 0 0 0 0
481 0 0 0 0
482 1 1 1 0
483 1 0 1 0
484 1 0 0 0
485 1 0 0 0
486 0 0 1 0
487 0 0 1 0
488 0 0 1 1
489 0 0 0 0
490 1 1 1 0
491 0 0 1 0
492 1 0 0 0
493 0 0 0 0
494 0 0 0 1
495 0 0 0 0
496 1 1 0 0
497 1 0 0 0
498 0 0 0 1
499 1 0 1 0
500 0 1 0 0
501 1 0 0 0
502 0 0 1 0
503 0 1 0 0
504 0 0 0 0
505 0 1 0 1
506 1 1 0 0
507 0 0 0 0
508 1 0 0 1
509 0 0 0 1
510 0 0 1 0
511 0 0 0 1
512 1 0 1 0
513 1 1 0 0
514 0 0 1 0
515 0 1 1 1
516 0 0 0 0
517 0 0 0 0
518 0 0 1 1
519 0 0 1 0
520 0 0 0 0
521 0 0 1 0
522 0 0 1 0
523 0 0 1 0
524 0 1 1 1
525 1 1 0 0
526 1 0 0 0
527 0 1 0 1
528 1 0 0 0
529 0 0 1 0
530 0 0 0 0
531 0 0 0 0
532 0 0 1 0
533 0 1 0 0
534 0 0 1 0
535 0 1 0 0
536 0 0 1 0
537 0 1 1 1
538 0 1 0 0
539 1 1 0 0
540 0 1 0 0
541 0 0 0 0
542 0 0 0 0
543 0 0 0 1
544 1 0 0 0
545 0 0 1 1
546 1 0 1 0
547 0 0 0 0
548 1 1 0 0
549 1 0 0 1
550 0 0 0 1
551 1 0 0 0
552 1 0 0 1
553 0 0 0 1
554 0 1 0 0
555 0 0 1 1
556 0 0 0 0
557 0 0 0 1
558 0 1 0 0
559 1 0 0 0
560 0 0 0 0
561 1 1 0 1
562 1 1 0 0
563 0 0 0 1
564 0 1 1 0
565 0 0 0 1
566 0 1 0 0
567 0 0 0 1
568 0 0 1 0
569 0 0 0 0
570 1 0 0 0
571 1 1 0 0
572 0 1 1 0
573 0 0 0 0
574 0 0 0 0
575 0 0 0 0
576 0 1 0 0
577 1 1 0 0
578 0 0 0 0
579 0 0 0 1
580 0 0 1 1
581 0 1 0 0
582 0 1 0 0
583 0 0 0 1
584 0 1 0 0
585 0 1 0 0
586 0 1 0 0
587 0 0 0 1
588 0 0 1 1
589 0 1 0 0
590 0 0 1 0
591 0 0 1 0
592 0 0 1 1
593 1 0 0 0
594 0 0 0 1
595 0 1 0 1
596 1 0 0 1
597 1 0 1 0
598 0 0 1 0
599 0 0 0 0
600 1 1 1 0
601 1 0 0 0
602 0 0 0 1
603 0 0 1 0
604 1 1 0 0
605 0 1 0 0
606 0 0 0 1
607 1 0 0 0
608 0 0 1 1
609 0 0 0 1
610 0 0 0 0
611 0 1 0 1
612 0 0 1 0
613 0 0 1 0
614 0 1 0 1
615 0 1 1 0
616 0 0 0 1
617 0 0 0 1
618 0 0 0 0
619 0 0 1 0
620 0 1 1 0
621 1 0 1 1
622 0 1 0 0
623 1 0 0 1
624 1 0 0 0
625 0 0 0 0
626 1 1 0 0
627 0 1 0 0
628 0 0 1 0
629 0 0 0 0
630 0 1 0 1
631 1 0 0 0
632 0 1 1 0
633 1 1 0 1
634 0 0 1 1
635 0 1 1 0
636 0 0 0 0
637 0 0 0 1
638 0 1 1 0
639 0 1 0 1
640 0 0 0 0
641 0 1 1 1
642 1 0 0 1
643 0 0 0 0
644 0 0 0 0
645 0 0 0 0
646 0 1 0 0
647 1 1 1 1
648 0 0 1 0
649 0 0 0 1
650 0 0 0 0
651 0 0 0 0
652 0 0 1 0
653 0 0 0 1
654 1 1 0 0
655 0 0 0 0
656 0 0 0 0
657 1 0 0 0
658 0 1 0 1
659 0 0 0 0
660 0 0 0 0
661 0 1 0 0
662 1 1 0 1
663 1 1 1 1
664 0 0 0 1
665 1 0 0 1
666 0 0 0 0
667 0 0 1 1
668 1 0 1 0
669 0 0 0 0
670 1 0 0 1
671 1 1 1 0
672 0 0 1 1
673 1 0 0 1
674 1 0 0 0
675 0 0 1 0
676 1 0 0 1
677 0 1 0 1
678 0 0 0 1
679 0 0 0 1
680 0 0 0 0
681 1 0 0 1
682 0 0 0 0
683 1 0 0 1
684 0 1 0 0
685 0 0 0 0
686 1 0 1 1
687 1 1 0 0
688 0 0 1 1
689 0 0 0 0
690 1 0 0 1
691 1 1 1 1
692 0 1 0 0
693 0 0 0 0
694 0 0 1 0
695 0 1 0 1
696 0 0 0 0
697 0 0 1 0
698 0 0 1 0
699 0 0 1 1
700 0 0 0 0
701 0 0 0 0
702 0 0 0 0
703 1 0 1 1
704 0 1 0 0
705 0 1 0 1
706 0 1 0 0
707 0 0 1 1
708 0 1 0 1
709 1 0 0 0
710 0 0 1 1
711 0 0 1 1
712 1 0 1 0
713 0 1 1 0
714 0 0 0 0
715 0 0 1 0
716 0 0 0 1
717 0 0 1 0
718 0 0 0 1
719 0 0 0 0
720 0 0 0 0
721 0 0 0 1
722 0 0 0 1
723 0 0 0 0
724 1 0 0 0
725 1 0 0 0
726 0 0 0 0
727 0 0 0 1
728 1 0 0 1
729 0 0 1 1
730 0 0 0 0
731 1 0 1 0
732 1 1 1 0
733 0 0 0 0
734 0 0 0 0
735 0 0 0 1
736 0 1 0 0
737 0 0 0 0
738 0 0 0 0
739 0 1 0 1
740 1 0 1 1
741 0 0 1 0
742 1 1 0 1
743 0 1 0 0
744 0 1 1 0
745 1 0 0 0
746 1 0 1 1
747 0 0 0 0
748 0 0 0 1
749 0 0 0 0
750 1 0 1 0
751 0 1 1 1
752 1 0 0 0
753 0 1 1 1
754 0 0 1 1
755 0 0 0 0
756 0 1 1 0
757 1 0 0 0
758 0 0 1 0
759 0 0 0 0
760 0 0 0 0
761 0 0 0 0
762 1 0 0 1
763 1 0 0 1
764 1 0 1 0
765 0 0 0 0
766 0 0 0 0
767 0 0 0 0
768 0 0 0 0
769 0 1 0 1
770 0 1 1 1
771 0 0 0 0
